.feature,albut,gene_id,gene_name,entrezid,gene_biotype,gene_seq_start,gene_seq_end,seq_name,seq_strand,seq_coord_system,symbol,GRangesList,.abundant,logFC,logCPM,F,PValue,FDR
ENSG00000000003,untrt,ENSG00000000003,TSPAN6,NA,protein_coding,99883667,99894988,X,-1,NA,TSPAN6,,TRUE,-0.3900770853764433,5.05970426825314,33.654123605555434,3.6806424185911106e-4,0.003378553957261212
ENSG00000000419,untrt,ENSG00000000419,DPM1,NA,protein_coding,49551404,49575092,20,-1,NA,DPM1,,TRUE,0.19778818609125332,4.611482764748098,6.841511009796412,0.030214444767655543,0.08161384792565844
ENSG00000000457,untrt,ENSG00000000457,SCYL3,NA,protein_coding,169818772,169863408,1,-1,NA,SCYL3,,TRUE,0.02924191410527655,3.4824616767926404,0.10136454659120761,0.7581523155536878,0.8393977547151676
ENSG00000000460,untrt,ENSG00000000460,C1orf112,NA,protein_coding,169631245,169823221,1,1,NA,FIRRM,,TRUE,-0.13942690332376342,1.4733754313452274,0.49179545269388947,0.5025327273648148,0.635485282224542
ENSG00000000971,untrt,ENSG00000000971,CFH,NA,protein_coding,196621008,196716634,1,1,NA,CFH,,TRUE,0.41729495380398934,8.089146220016774,30.04358545686032,5.377086506429253e-4,0.004425606186118465
ENSG00000001036,untrt,ENSG00000001036,FUCA2,NA,protein_coding,143815948,143832827,6,-1,NA,FUCA2,,TRUE,-0.24998288732286436,5.909667702054603,15.25621616263225,0.004290941307617297,0.01975140147850618
ENSG00000001084,untrt,ENSG00000001084,GCLC,NA,protein_coding,53362139,53481768,6,-1,NA,GCLC,,TRUE,-0.0577849823836165,4.8367544341716275,0.15782392436219533,0.7013035423322049,0.7979538626264697
ENSG00000001167,untrt,ENSG00000001167,NFYA,NA,protein_coding,41040684,41067715,6,1,NA,NFYA,,TRUE,-0.5089498492746161,4.130495909623823,44.6856311384532,1.382903533260513e-4,0.0017095895540252524
ENSG00000001460,untrt,ENSG00000001460,STPG1,NA,protein_coding,24683489,24743424,1,-1,NA,STPG1,,TRUE,-0.13673425960289012,3.1172225790571044,1.0739850247709055,0.329624876898382,0.4709011293042367
ENSG00000001461,untrt,ENSG00000001461,NIPAL3,NA,protein_coding,24742284,24799466,1,1,NA,NIPAL3,,TRUE,-0.05000626960775575,7.041896268979423,0.3481181171249217,0.571069327526047,0.6936667366062464
ENSG00000001497,untrt,ENSG00000001497,LAS1L,NA,protein_coding,64732462,64754655,X,-1,NA,LAS1L,,TRUE,-0.013054942879041022,4.66570005443892,0.0354840401394066,0.855161225753862,0.9062614906412035
ENSG00000001561,untrt,ENSG00000001561,ENPP4,NA,protein_coding,46097730,46114436,6,1,NA,ENPP4,,TRUE,0.2280576990831843,2.382919234160823,2.469423096965312,0.1537889643355235,0.27150460547694794
ENSG00000001617,untrt,ENSG00000001617,SEMA3F,NA,protein_coding,50192478,50226508,3,1,NA,SEMA3F,,TRUE,-0.2591532361080191,4.813993612704031,12.319060663386917,0.007652017925143721,0.03023971153246623
ENSG00000001629,untrt,ENSG00000001629,ANKIB1,NA,protein_coding,91875548,92030698,7,1,NA,ANKIB1,,TRUE,-0.2356544039871469,6.383411587135124,14.986479549299252,0.004509979326802602,0.020498267910575983
ENSG00000001630,untrt,ENSG00000001630,CYP51A1,NA,protein_coding,91741465,91772266,7,-1,NA,CYP51A1,,TRUE,-0.002166808238137145,1.4347857164726558,9.126806158607425e-5,0.9926058311655772,0.9955438294063217
ENSG00000001631,untrt,ENSG00000001631,KRIT1,NA,protein_coding,91828283,91875480,7,-1,NA,KRIT1,,TRUE,-0.045634135364883144,5.205707484183763,0.3943340267241941,0.547107996893732,0.6745561630819522
ENSG00000002016,untrt,ENSG00000002016,RAD52,NA,protein_coding,1021243,1099219,12,-1,NA,RAD52,,TRUE,-0.31819543502852643,3.1311372187536257,9.591908344601121,0.014284765904278567,0.04715986355546029
ENSG00000002330,untrt,ENSG00000002330,BAD,NA,protein_coding,64037302,64052176,11,-1,NA,BAD,,TRUE,0.08019183432980158,3.0754444015205697,0.7271688387500849,0.41800040772238534,0.5577307718990205
ENSG00000002549,untrt,ENSG00000002549,LAP3,NA,protein_coding,17578815,17609595,4,1,NA,LAP3,,TRUE,0.1777122414696112,5.876085694791505,4.798806176496641,0.059038573408998644,0.13457931637690887
ENSG00000002586,untrt,ENSG00000002586,CD99,NA,protein_coding,2609220,2659350,X,1,NA,CD99,,TRUE,0.08087089570792617,8.59956805806143,1.2923159812070404,0.28773316734651255,0.42786539898791404
ENSG00000002746,untrt,ENSG00000002746,HECW1,NA,protein_coding,43152198,43605600,7,1,NA,HECW1,,TRUE,0.09465737474903292,2.3568192981043645,0.5630284556858253,0.4740108214898543,0.6112628617852162
ENSG00000002822,untrt,ENSG00000002822,MAD1L1,NA,protein_coding,1855429,2272878,7,-1,NA,MAD1L1,,TRUE,-0.16831320890265514,4.047061826074453,3.412949087057037,0.10095562530670546,0.2005762585621995
ENSG00000002834,untrt,ENSG00000002834,LASP1,NA,protein_coding,37026112,37078023,17,1,NA,LASP1,,TRUE,0.3876244354641449,8.390383195943505,23.074442677676515,0.0012571837363072407,0.008168873188261573
ENSG00000002919,untrt,ENSG00000002919,SNX11,NA,protein_coding,46180719,46200436,17,1,NA,SNX11,,TRUE,0.39532696129308037,3.5564960229195037,19.325513747200453,0.002163083501200849,0.012140800000478905
ENSG00000002933,untrt,ENSG00000002933,TMEM176A,NA,protein_coding,150497491,150502208,7,1,NA,TMEM176A,,TRUE,0.3549452721680405,4.650728268878204,11.537421031605303,0.009063425466062588,0.03401133693980037
ENSG00000003056,untrt,ENSG00000003056,M6PR,NA,protein_coding,9092959,9102551,12,-1,NA,M6PR,,TRUE,-0.08176537019120343,5.643562394495832,1.5786288360485563,0.2435523982066697,0.3793833620734959
ENSG00000003096,untrt,ENSG00000003096,KLHL13,NA,protein_coding,117031776,117251303,X,-1,NA,KLHL13,,TRUE,-0.9488394530293035,4.156876169125202,82.08765800450097,1.4977076165646917e-5,3.929570263823605e-4
